t_ms,I_nA,u_mWmm2
69.8,2.288831288306302,20
69.9,2.287226301762048,20
70.0,2.285626470108375,20
70.10000000000001,2.2840317760889732,20
70.2,2.282442202509603,20
70.3,2.280857732237845,20
70.4,2.27927834820285,20
70.5,2.277704033395095,20
70.60000000000001,2.2761347708661397,20
70.7,2.2745705437283816,20
70.8,2.273011335154811,20
70.9,2.271457128378773,20
71.0,2.269907906693722,20
71.1,2.2683636534529907,20
71.2,2.2668243520695412,20
71.3,2.2652899860157363,20
71.4,2.2637605388230986,20
71.5,2.262235994082075,20
71.6,2.260716335441807,20
71.7,2.259201546609893,20
71.8,2.257691611352158,20
71.9,2.256186513492422,20
72.0,2.254686236912271,20
72.1,2.253190765550829,20
72.2,2.251700083404526,20
72.3,2.250214174526875,20
72.4,2.2487330230282443,20
72.50000000000001,2.247256613075635,20
72.6,2.2457849288924527,20
72.7,2.2443179547582917,20
72.8,2.2428556750087028,20
72.9,2.241398074034982,20
73.00000000000001,2.239945136283946,20
73.1,2.238496846257715,20
73.2,2.237053188513494,20
73.3,2.235614147663354,20
73.4,2.2341797083740196,20
73.50000000000001,2.232749855366652,20
73.6,2.2313245734166345,20
73.7,2.2299038473533614,20
73.8,2.2284876620600236,20
73.9,2.2270760024733973,20
74.00000000000001,2.2256688535836364,20
74.1,2.224266200434061,20
74.2,2.222868028120948,20
74.3,2.2214743217933277,20
74.4,2.2200850666527727,20
74.5,2.218700247953193,20
74.6,2.217319851000636,20
74.7,2.2159438611530757,20
74.8,2.2145722638202154,20
74.9,2.213205044463281,20
75.0,2.2118421885948236,20
75.1,2.210483681778518,20
75.2,2.2091295096289634,20
75.3,2.207779657811484,20
75.4,2.206434112041932,20
75.5,2.2050928580864926,20
75.6,2.203755881761485,20
75.7,2.2024231689331693,20
75.80000000000001,2.2010947055175514,20
75.9,2.1997704774801923,20
76.0,2.198450470836012,20
76.1,2.1971346716490996,20
76.2,2.1958230660325238,20
76.30000000000001,2.1945156401481407,20
76.4,2.193212380206406,20
76.5,2.1919132724661847,20
76.6,2.1906183032345705,20
76.7,2.1893274588666896,20
76.80000000000001,2.1880407257655214,20
76.9,2.1867580903817116,20
77.0,2.1854795392133877,20
77.1,2.1842050588059765,20
77.2,2.1829346357520207,20
77.30000000000001,2.1816682566909997,20
77.4,2.180405908309143,20
77.5,2.179147577339257,20
77.6,2.17789325056054,20
77.7,2.1766429147984074,20
77.80000000000001,2.175396556924312,20
77.89999999999999,2.1741541638555666,20
78.0,2.172915722555169,20
78.1,2.1716812200316262,20
78.2,2.170450643338779,20
78.30000000000001,2.169223979575629,20
78.39999999999999,2.168001215886165,20
78.5,2.166782339459189,20
78.60000000000001,2.165567337528148,20
78.7,2.1643561973709584,20
78.80000000000001,2.1631489063098415,20
78.89999999999999,2.1619454517111483,20
79.0,2.160745820985194,20
79.10000000000001,2.159550001586089,20
79.2,2.158357981011572,20
79.30000000000001,2.157169746802844,20
79.39999999999999,2.1559852865444014,20
79.5,2.1548045878638695,20
79.60000000000001,2.1536276384318422,20
79.7,2.152454425961714,20
79.80000000000001,2.1512849382095203,20
79.89999999999999,2.150119162973772,20
80.0,2.148957088095297,20
80.10000000000001,2.147798701457077,20
80.2,2.1466439909840886,20
80.30000000000001,2.1454929446431423,20
80.39999999999999,2.1443455504427256,20
80.5,2.1432017964328427,20
80.60000000000001,2.1420616707048605,20
80.7,2.1409251613913454,20
80.80000000000001,2.139792256665915,20
80.89999999999999,2.1386629447430776,20
81.0,2.137537213878078,20
81.10000000000001,2.136415052366745,20
81.2,2.1352964485453363,20
81.3,2.1341813907903853,20
81.39999999999999,2.1330698675185515,20
81.5,2.1319618671864675,20
81.60000000000001,2.130857378290587,20
81.7,2.129756389367035,20
81.8,2.1286588889914615,20
81.9,2.1275648657788855,20
82.0,2.1264743083835564,20
82.10000000000001,2.1253872054987966,20
82.2,2.124303545856861,20
82.3,2.1232233182287863,20
82.4,2.122146511424249,20
82.5,2.1210731142914176,20
82.60000000000001,2.1200031157168104,20
82.7,2.118936504625147,20
82.8,2.1178732699792104,20
82.9,2.116813400779701,20
83.0,2.1157568860650944,20
83.10000000000001,2.1147037149115016,20
83.2,2.113653876432527,20
83.3,2.1126073597791284,20
83.4,2.111564154139476,20
83.5,2.1105242487388147,20
83.60000000000001,2.109487632839325,20
83.7,2.108454295739986,20
83.8,2.1074242267764354,20
83.9,2.1063974153208354,20
84.0,2.1053738507817346,20
84.10000000000001,2.1043535226039345,20
84.2,2.1033364202683504,20
84.3,2.1023225332918822,20
84.4,2.1013118512272757,20
84.5,2.10030436366299,20
84.60000000000001,2.0993000602230687,20
84.7,2.0982989305670032,20
84.8,2.097300964389601,20
84.9,2.096306151420857,20
85.0,2.0953144814258224,20
85.10000000000001,2.0943259442044715,20
85.2,2.093340529591577,20
85.3,2.0923582274565766,20
85.4,2.091379027703447,20
85.5,2.090402920270576,20
85.60000000000001,2.0894298951306327,20
85.7,2.0884599422904437,20
85.8,2.0874930517908648,20
85.9,2.0865292137066556,20
86.0,2.0855684181463543,20
86.10000000000001,2.0846106552521535,20
86.2,2.083655915199774,20
86.3,2.082704188198343,20
86.4,2.081755464490271,20
86.5,2.080809734351127,20
86.60000000000001,2.0798669880895173,20
86.7,2.0789272160469663,20
86.8,2.0779904085977905,20
86.9,2.0770565561489818,20
87.0,2.0761256491400837,20
87.10000000000001,2.0751976780430765,20
87.2,2.0742726333622543,20
87.3,2.0733505056341053,20
87.4,2.072431285427198,20
87.5,2.071514963342059,20
87.6,2.0706015300110585,20
87.7,2.0696909760982933,20
87.8,2.0687832922994684,20
87.9,2.0678784693417835,20
88.0,2.0669764979838154,20
88.1,2.0660773690154066,20
88.2,2.065181073257548,20
88.3,2.064287601562264,20
88.4,2.063396944812503,20
88.50000000000001,2.0625090939220208,20
88.6,2.0616240398352703,20
88.7,2.0607417735272873,20
88.8,2.0598622860035816,20
88.9,2.058985568300022,20
89.00000000000001,2.058111611482731,20
89.1,2.057240406647969,20
89.2,2.056371944922027,20
89.3,2.0555062174611183,20
89.4,2.0546432154512675,20
89.50000000000001,2.0537829301082047,20
89.6,2.0529253526772524,20
89.7,2.052070474433224,20
89.8,2.0512182866803133,20
89.9,2.050368780751987,20
90.00000000000001,2.0495219480108817,20
90.1,2.0486777798486933,20
90.2,2.0478362676860784,20
90.3,2.0469974029725413,20
90.4,2.046161177186335,20
90.50000000000001,2.045327581834357,20
90.6,2.0444966084520404,20
90.7,2.043668248603257,20
90.8,2.042842493880212,20
90.9,2.042019335903338,20
91.0,2.0411987663211986,20
91.1,2.040380776810383,20
91.2,2.0395653590754064,20
91.3,2.038752504848609,20
91.4,2.0379422058900554,20
91.5,2.0371344539874334,20
91.6,2.0363292409559555,20
91.7,2.035526558638261,20
91.80000000000001,2.0347263989043145,20
91.9,2.0339287536513098,20
92.0,2.0331336148035692,20
92.1,2.0323409743124494,20
92.2,2.0315508241562408,20
92.30000000000001,2.0307631563400728,20
92.4,2.029977962895818,20
92.5,2.0291952358819922,20
92.6,2.0284149673836636,20
92.7,2.027637149512353,20
92.80000000000001,2.026861774405944,20
92.9,2.0260888342285837,20
93.0,2.0253183211705905,20
93.1,2.02455022744836,20
93.2,2.023784545304273,20
93.30000000000001,2.0230212670066003,20
93.4,2.0222603848494103,20
93.5,2.0215018911524782,20
93.6,2.020745778261194,20
93.7,2.0199920385464663,20
93.80000000000001,2.0192406644046392,20
93.9,2.0184916482573962,20
94.0,2.0177449825516685,20
94.1,2.0170006597595482,20
94.2,2.016258672378198,20
94.30000000000001,2.0155190129297607,20
94.39999999999999,2.0147816739612696,20
94.5,2.014046648044561,20
94.60000000000001,2.0133139277761867,20
94.7,2.0125835057773234,20
94.80000000000001,2.0118553746936874,20
94.89999999999999,2.011129527195445,20
95.0,2.0104059559771286,20
95.10000000000001,2.009684653757547,20
95.2,2.0089656132797007,20
95.30000000000001,2.008248827310697,20
95.39999999999999,2.00753428864166,20
95.5,2.0068219900876514,20
95.60000000000001,2.0061119244875814,20
95.7,2.0054040847041255,20
95.80000000000001,2.004698463623639,20
95.89999999999999,2.0039950541560745,20
96.0,2.0032938492348995,20
96.10000000000001,2.002594841817008,20
96.2,2.001898024882645,20
96.30000000000001,2.001203391435316,20
96.39999999999999,2.000510934501711,20
96.5,1.9998206471316196,20
96.60000000000001,1.999132522397849,20
96.7,1.998446553396145,20
96.80000000000001,1.9977627332451071,20
96.89999999999999,1.997081055086112,20
97.0,1.9964015120832304,20
97.10000000000001,1.995724097423148,20
97.2,1.995048804315086,20
97.30000000000001,1.9943756259907204,20
97.39999999999999,1.9937045557041042,20
97.5,1.9930355867315879,20
97.60000000000001,1.992368712371741,20
97.7,1.9917039259452733,20
97.8,1.9910412207949588,20
97.9,1.9903805902855558,20
98.0,1.9897220278037304,20
98.10000000000001,1.9890655267579807,20
98.2,1.9884110805785573,20
98.3,1.9877586827173908,20
98.4,1.987108326648012,20
98.5,1.9864600058654778,20
98.60000000000001,1.9858137138862961,20
98.7,1.9851694442483483,20
98.8,1.9845271905108175,20
98.9,1.9838869462541113,20
99.0,1.9832487050797893,20
99.10000000000001,1.9826124606104871,20
99.2,1.9819782064898435,20
99.3,1.9813459363824277,20
99.4,1.9807156439736648,20
99.5,1.9800873229697644,20
99.60000000000001,1.9794609670976444,20
99.7,1.978836570104864,20
99.8,1.9782141257595465,20
99.9,1.9775936278503112,20
100.0,1.9769750701861988,20
100.10000000000001,1.9763584465966033,20
100.2,1.9757437509311981,20
100.3,1.9751309770598664,20
100.4,1.9745201188726318,20
100.5,1.973911170279586,20
100.60000000000001,1.9733041252108203,20
100.7,1.9726989776163566,20
100.8,1.9720957214660755,20
100.9,1.9714943507496492,20
101.0,1.9708948594764721,20
101.10000000000001,1.970297241675593,20
101.2,1.9697014913956443,20
101.3,1.9691076027047771,20
101.4,1.9685155696905923,20
101.5,1.9679253864600708,20
101.60000000000001,1.9673370471395082,20
101.7,1.9667505458744496,20
101.8,1.9661658768296184,20
101.9,1.9655830341888543,20
102.0,1.9650020121550427,20
102.10000000000001,1.9644228049500518,20
102.2,1.9638454068146671,20
102.3,1.9632698120085224,20
102.4,1.962696014810039,20
102.5,1.9621240095163555,20
102.60000000000001,1.961553790443269,20
102.7,1.9609853519251648,20
102.8,1.9604186883149572,20
102.9,1.9598537939840215,20
103.0,1.9592906633221319,20
103.10000000000001,1.9587292907373985,20
103.2,1.958169670656202,20
103.3,1.9576117975231329,20
103.4,1.9570556658009268,20
103.5,1.9565012699704034,20
